Census Tract,GEOID,Median HH Income,Year,Total Population,Total Households,Median age ,Average HH size,BS Degree and above,White ,Black or African American ,American Indian and Alaska Native ,Asian ,Native Hawaiian and Other Pacific Islander ,Some other race,Two or more races,Hispanic or Latino
"Census Tract 1112.01, Maricopa County, Arizona",4013111201,35417,1,5720,2534,31.3,2.24,1061,3294,485,196,234,0,1411,100,5720
"Census Tract 1112.02, Maricopa County, Arizona",4013111202,33571,1,1543,706,27.2,2.19,197,1036,88,0,42,0,323,54,1543
"Census Tract 1112.03, Maricopa County, Arizona",4013111203,31875,1,1456,821,29.1,1.77,268,632,508,79,97,0,99,41,1456
"Census Tract 1112.04, Maricopa County, Arizona",4013111204,39531,1,2150,1224,27.9,1.76,513,1620,225,61,94,0,106,44,2150
"Census Tract 1113, Maricopa County, Arizona",4013111300,44375,1,5285,2281,34.1,2.32,1011,3953,436,247,169,0,282,198,5285
"Census Tract 1114.01, Maricopa County, Arizona",4013111401,38004,1,5005,1389,29.3,3.6,122,3553,128,58,25,0,1155,86,5005
"Census Tract 1114.02, Maricopa County, Arizona",4013111402,35417,1,4202,1389,32.7,3.02,367,2614,476,147,37,136,737,55,4202
"Census Tract 1115.01, Maricopa County, Arizona",4013111501,30801,1,1956,543,23.8,3.6,127,1233,33,69,0,0,615,6,1956
"Census Tract 1115.02, Maricopa County, Arizona",4013111502,33027,1,6194,1969,32.6,3.09,373,3828,146,111,58,0,1869,182,6194
"Census Tract 1116.01, Maricopa County, Arizona",4013111601,26700,1,3158,1108,38.2,2.83,357,2047,203,63,4,0,770,71,3158
"Census Tract 1116.02, Maricopa County, Arizona",4013111602,26920,1,4848,1414,25.2,3.39,349,2780,299,219,0,20,1417,113,4848
"Census Tract 1117, Maricopa County, Arizona",4013111700,36101,1,5676,2228,33.8,2.52,1157,4391,304,25,47,35,806,68,5676
"Census Tract 1118, Maricopa County, Arizona",4013111800,80071,1,3705,1913,43.7,1.94,1652,3088,273,0,160,0,118,66,3705
"Census Tract 1119, Maricopa County, Arizona",4013111900,82457,1,2380,1021,40.4,2.31,1167,1989,140,0,53,0,50,148,2380
"Census Tract 112.01, Yuma County, Arizona",4027011201,39474,1,4009,1676,56.4,2.39,356,2790,200,78,37,0,837,67,4009
"Census Tract 112.02, Yuma County, Arizona",4027011202,40313,1,1748,655,43.6,2.67,128,977,0,0,70,0,644,57,1748
"Census Tract 1121, Maricopa County, Arizona",4013112100,22221,1,4099,971,24.3,4.21,49,3311,36,170,0,0,504,78,4099
"Census Tract 1122.01, Maricopa County, Arizona",4013112201,23681,1,3871,1142,30.1,3.37,114,3186,127,5,2,0,551,0,3871
"Census Tract 1122.02, Maricopa County, Arizona",4013112202,29536,1,4377,1373,33.6,3.13,119,3520,233,26,0,0,451,147,4377
"Census Tract 1123.01, Maricopa County, Arizona",4013112301,28788,1,5412,1548,27.1,3.5,166,3454,298,55,19,0,1484,102,5412
"Census Tract 1123.02, Maricopa County, Arizona",4013112302,25375,1,7569,1908,24.7,3.96,159,4137,764,384,147,0,1636,501,7569
"Census Tract 1124.01, Maricopa County, Arizona",4013112401,36989,1,6979,1556,25.2,4.49,256,4120,451,19,56,0,2252,81,6979
"Census Tract 1124.02, Maricopa County, Arizona",4013112402,32816,1,5187,1217,26,4.26,153,3995,161,29,36,0,806,160,5187
"Census Tract 1125.02, Maricopa County, Arizona",4013112502,33400,1,6256,1338,20.6,4.68,267,4373,267,69,49,0,1206,292,6256
"Census Tract 1125.03, Maricopa County, Arizona",4013112503,34000,1,8449,2018,27.3,4.19,154,6307,103,240,66,15,1548,170,8449
"Census Tract 1125.04, Maricopa County, Arizona",4013112504,28018,1,3829,1072,24.6,3.57,118,2946,287,93,0,82,325,96,3829
"Census Tract 1125.05, Maricopa County, Arizona",4013112505,26187,1,8743,2372,24.3,3.69,139,6405,127,55,428,69,1465,194,8743
"Census Tract 1125.07, Maricopa County, Arizona",4013112507,23466,1,2648,724,22.6,3.66,100,1980,212,77,42,0,306,31,2648
"Census Tract 1125.08, Maricopa County, Arizona",4013112508,31625,1,2042,661,31.4,3.09,61,1833,13,86,10,0,86,14,2042
"Census Tract 1125.09, Maricopa County, Arizona",4013112509,32946,1,8694,3003,22.9,2.9,814,5441,1215,319,30,0,1405,284,8694
"Census Tract 1125.10, Maricopa County, Arizona",4013112510,57515,1,4585,1189,25.3,3.86,452,3899,291,10,30,0,212,143,4585
"Census Tract 1125.11, Maricopa County, Arizona",4013112511,55117,1,6981,1919,27.9,3.64,637,5580,439,108,114,12,443,285,6981
"Census Tract 1125.12, Maricopa County, Arizona",4013112512,25998,1,1817,673,25.8,2.7,114,1410,162,56,90,0,35,64,1817
"Census Tract 1125.13, Maricopa County, Arizona",4013112513,40794,1,8306,2311,26.6,3.59,334,5883,1045,327,241,67,507,236,8306
"Census Tract 1125.14, Maricopa County, Arizona",4013112514,60275,1,4379,1099,26,3.98,333,1945,1437,114,206,0,581,96,4379
"Census Tract 1126.01, Maricopa County, Arizona",4013112601,20000,1,2752,860,26,3.2,76,2119,217,56,37,0,182,141,2752
"Census Tract 1126.02, Maricopa County, Arizona",4013112602,21232,1,7418,1901,25.8,3.88,106,6068,65,250,35,0,749,251,7418
"Census Tract 1127, Maricopa County, Arizona",4013112700,22660,1,6109,1563,25.5,3.91,16,4918,281,70,31,8,688,113,6109
"Census Tract 1129, Maricopa County, Arizona",4013112900,25042,1,4794,1895,35.2,2.48,726,3964,355,106,7,0,256,106,4794
"Census Tract 1130, Maricopa County, Arizona",4013113000,44097,1,1883,1109,36.3,1.65,802,1621,108,14,0,0,74,66,1883
"Census Tract 1131, Maricopa County, Arizona",4013113100,19331,1,2627,1498,39.8,1.3,716,1784,461,103,122,11,71,75,2627
"Census Tract 1132.01, Maricopa County, Arizona",4013113201,20000,1,2870,768,25,3.73,162,2028,56,0,0,0,743,43,2870
"Census Tract 1132.02, Maricopa County, Arizona",4013113202,17868,1,2124,647,27.9,3.14,137,1250,193,146,0,0,477,58,2124
"Census Tract 1132.03, Maricopa County, Arizona",4013113203,23850,1,2368,749,31.9,3.12,212,1724,69,22,12,0,496,45,2368
"Census Tract 1133, Maricopa County, Arizona",4013113300,13478,1,5619,1571,26.9,3.38,167,3596,189,128,0,0,1643,63,5619
"Census Tract 1134, Maricopa County, Arizona",4013113400,,1,333,0,38.6,,5,246,61,22,2,0,0,2,333
"Census Tract 1135.01, Maricopa County, Arizona",4013113501,30133,1,4111,1269,31.2,3.15,184,2315,547,48,39,4,1101,57,4111
"Census Tract 1135.02, Maricopa County, Arizona",4013113502,26463,1,2649,696,24.8,3.8,67,1306,254,0,25,0,1000,64,2649
"Census Tract 1136.01, Maricopa County, Arizona",4013113601,40766,1,4057,1472,24.2,2.75,337,2527,333,122,75,6,897,97,4057
"Census Tract 1136.02, Maricopa County, Arizona",4013113602,24375,1,3626,1061,22.7,3.42,61,1359,875,64,32,12,1275,9,3626
"Census Tract 1137, Maricopa County, Arizona",4013113700,33119,1,7587,2794,27.3,2.72,812,4014,1801,217,0,11,1359,185,7587
"Census Tract 1138.01, Maricopa County, Arizona",4013113801,31429,1,1902,920,29.9,2,415,1084,74,19,41,0,639,45,1902
"Census Tract 1138.02, Maricopa County, Arizona",4013113802,,1,0,0,,,0,0,0,0,0,0,0,0,0
"Census Tract 1139, Maricopa County, Arizona",4013113900,10417,1,1040,308,18.9,3.36,26,488,247,0,30,0,275,0,1040
"Census Tract 114.03, Yuma County, Arizona",4027011403,29082,1,4550,1228,30.3,3.7,342,4438,0,0,0,0,112,0,4550
"Census Tract 114.05, Yuma County, Arizona",4027011405,29219,1,5489,1512,29.6,3.63,306,5328,0,120,0,0,41,0,5489
"Census Tract 114.06, Yuma County, Arizona",4027011406,32017,1,9087,2523,24.6,3.6,391,8724,0,0,18,0,320,25,9087
"Census Tract 1140, Maricopa County, Arizona",4013114000,22058,1,1897,875,27.8,2.17,316,792,503,95,6,7,487,7,1897
"Census Tract 1141, Maricopa County, Arizona",4013114100,36667,1,1828,390,34.1,1.43,280,1463,267,45,23,0,17,13,1828
"Census Tract 1142, Maricopa County, Arizona",4013114200,15833,1,1483,414,35.4,2.96,109,1160,205,17,35,0,41,25,1483
"Census Tract 1143.01, Maricopa County, Arizona",4013114301,27344,1,1308,237,41.4,2.87,121,821,190,24,0,0,249,24,1308
"Census Tract 1143.02, Maricopa County, Arizona",4013114302,15410,1,2730,918,24.7,2.97,82,1562,863,70,62,0,173,0,2730
"Census Tract 1144.01, Maricopa County, Arizona",4013114401,23207,1,1938,575,35.1,3.37,37,1528,194,22,0,0,159,35,1938
"Census Tract 1144.02, Maricopa County, Arizona",4013114402,14653,1,1821,593,32.2,3.01,43,1334,190,59,0,0,209,29,1821
"Census Tract 1145, Maricopa County, Arizona",4013114500,21016,1,3798,966,26.7,3.93,31,2950,174,33,47,0,594,0,3798
"Census Tract 1146, Maricopa County, Arizona",4013114600,32617,1,2044,467,23.4,4.35,35,1674,4,28,6,0,202,130,2044
"Census Tract 1147.03, Maricopa County, Arizona",4013114703,23750,1,5382,263,30.5,4.18,151,4180,653,284,61,0,187,17,5382
"Census Tract 1148, Maricopa County, Arizona",4013114800,31800,1,3545,792,30.6,4.19,100,2505,335,52,0,0,653,0,3545
"Census Tract 1149, Maricopa County, Arizona",4013114900,12500,1,2769,854,32,3.05,90,2117,199,95,138,0,167,53,2769
"Census Tract 115.01, Yuma County, Arizona",4027011501,27917,1,2551,799,26.3,3.15,132,1819,30,565,20,0,77,40,2551
"Census Tract 115.03, Yuma County, Arizona",4027011503,31738,1,5478,1652,27.8,3.32,161,5149,0,66,0,0,131,132,5478
"Census Tract 115.04, Yuma County, Arizona",4027011504,31241,1,8635,2636,27,3.28,304,8162,64,35,18,0,272,84,8635
"Census Tract 1152, Maricopa County, Arizona",4013115200,26518,1,2653,726,25.2,3.65,117,1384,774,93,0,281,76,45,2653
"Census Tract 1153, Maricopa County, Arizona",4013115300,19387,1,2915,877,25.9,3.25,124,1579,530,14,0,0,665,127,2915
"Census Tract 1154, Maricopa County, Arizona",4013115400,35469,1,2634,619,25.6,4.26,12,1394,100,153,26,0,961,0,2634
"Census Tract 1155, Maricopa County, Arizona",4013115500,27656,1,3789,963,27.6,3.93,57,3079,35,37,0,3,563,72,3789
"Census Tract 1156, Maricopa County, Arizona",4013115600,39425,1,4759,1179,21.9,4.04,183,2098,1735,13,30,28,734,121,4759
"Census Tract 1157, Maricopa County, Arizona",4013115700,32263,1,6474,1535,24.3,4.21,221,4296,612,39,82,0,1333,112,6474
"Census Tract 1158.01, Maricopa County, Arizona",4013115801,28923,1,4516,1250,24.4,3.6,21,3372,304,126,30,0,503,181,4516
"Census Tract 1158.02, Maricopa County, Arizona",4013115802,23364,1,3461,1026,31.4,3.37,79,2543,360,28,37,0,493,0,3461
"Census Tract 1159, Maricopa County, Arizona",4013115900,30292,1,5110,1428,27.5,3.56,444,2434,830,171,50,338,1219,68,5110
"Census Tract 116, Yuma County, Arizona",4027011600,32125,1,9039,2692,27.2,3.35,301,9037,0,2,0,0,0,0,9039
"Census Tract 1160, Maricopa County, Arizona",4013116000,31500,1,4789,1696,35.8,2.82,927,2181,1632,87,242,0,584,63,4789
"Census Tract 1161, Maricopa County, Arizona",4013116100,24799,1,3997,1149,24.2,3.48,255,2466,806,18,10,141,556,0,3997
"Census Tract 1162.02, Maricopa County, Arizona",4013116202,43661,1,5173,1310,27.8,3.94,378,3195,485,206,9,0,1094,184,5173
"Census Tract 1162.03, Maricopa County, Arizona",4013116203,46176,1,4599,1758,28.5,2.62,1022,2182,1025,102,109,0,953,228,4599
"Census Tract 1162.04, Maricopa County, Arizona",4013116204,51798,1,3332,1027,31.5,3.24,551,1603,154,88,219,0,1112,156,3332
"Census Tract 1162.05, Maricopa County, Arizona",4013116205,37047,1,4945,1744,28,2.83,638,2976,604,430,66,0,615,254,4945
"Census Tract 1163, Maricopa County, Arizona",4013116300,43646,1,6869,1863,29.4,3.63,740,2619,1398,387,88,0,2280,97,6869
"Census Tract 1164, Maricopa County, Arizona",4013116400,34821,1,5838,1523,26.6,3.8,279,2399,1080,351,9,0,1959,40,5838
"Census Tract 1165, Maricopa County, Arizona",4013116500,38566,1,5267,1277,28.9,4.12,138,3567,278,209,1,0,1100,112,5267
"Census Tract 1166.02, Maricopa County, Arizona",4013116602,42448,1,8612,2200,25.3,3.91,504,5238,1718,217,166,26,942,305,8612
"Census Tract 1166.03, Maricopa County, Arizona",4013116603,84375,1,6367,1556,29.4,4.09,672,3731,1260,10,191,0,782,393,6367
"Census Tract 1166.04, Maricopa County, Arizona",4013116604,58947,1,4065,1144,23.8,3.55,649,1965,1299,60,218,49,368,106,4065
"Census Tract 1166.05, Maricopa County, Arizona",4013116605,65313,1,5230,1498,26.9,3.49,704,3727,916,36,180,0,78,293,5230
"Census Tract 1166.06, Maricopa County, Arizona",4013116606,50243,1,6431,1741,27.1,3.69,784,3220,1537,60,297,0,965,352,6431
"Census Tract 1166.07, Maricopa County, Arizona",4013116607,53167,1,2943,759,23.7,3.88,199,1633,1097,0,5,0,156,52,2943
"Census Tract 1166.08, Maricopa County, Arizona",4013116608,51761,1,3345,1061,30.2,3.15,528,2333,174,0,316,0,378,144,3345
"Census Tract 1166.09, Maricopa County, Arizona",4013116609,77721,1,3702,1049,34.2,3.53,761,1972,1116,27,328,0,119,140,3702
"Census Tract 1166.10, Maricopa County, Arizona",4013116610,51648,1,5341,1552,29.5,3.44,806,2996,1193,71,379,0,566,136,5341
"Census Tract 1166.11, Maricopa County, Arizona",4013116611,73854,1,3611,1040,35.4,3.47,754,2727,179,5,163,0,283,254,3611
"Census Tract 1166.12, Maricopa County, Arizona",4013116612,62257,1,5268,1436,29.7,3.67,889,2933,930,53,206,0,817,329,5268
"Census Tract 1166.13, Maricopa County, Arizona",4013116613,44720,1,5931,2112,33.2,2.8,653,3712,1107,178,206,0,456,272,5931
"Census Tract 1167.02, Maricopa County, Arizona",4013116702,38271,1,7708,2429,32.6,3.13,843,4190,928,460,86,49,1921,74,7708
"Census Tract 1167.03, Maricopa County, Arizona",4013116703,50742,1,4038,1195,39.8,3.2,597,2178,668,209,46,0,790,147,4038
"Census Tract 1167.04, Maricopa County, Arizona",4013116704,54704,1,7023,3013,35.8,2.33,2033,4028,969,82,530,0,1204,210,7023
"Census Tract 1167.07, Maricopa County, Arizona",4013116707,85213,1,2640,1132,44.6,2.33,1019,2172,19,36,45,0,143,225,2640
"Census Tract 1167.08, Maricopa County, Arizona",4013116708,50000,1,5334,2758,55.4,1.93,1394,4580,331,90,112,0,16,205,5334
"Census Tract 1167.09, Maricopa County, Arizona",4013116709,65625,1,1828,792,34.2,2.3,582,1371,88,90,148,0,39,92,1828
"Census Tract 1167.10, Maricopa County, Arizona",4013116710,131150,1,4410,1549,43.8,2.84,1891,3678,132,16,251,0,195,138,4410
"Census Tract 1167.11, Maricopa County, Arizona",4013116711,83125,1,2014,758,33,2.66,517,1325,306,0,111,68,47,157,2014
"Census Tract 1167.12, Maricopa County, Arizona",4013116712,67705,1,6475,2510,33.4,2.57,1873,4967,611,17,371,0,38,471,6475
"Census Tract 1167.13, Maricopa County, Arizona",4013116713,83605,1,6258,2338,40.9,2.68,1926,5268,341,21,304,0,100,224,6258
"Census Tract 1167.14, Maricopa County, Arizona",4013116714,102411,1,3771,1254,38.4,3.01,1295,3005,187,9,449,0,58,63,3771
"Census Tract 1167.15, Maricopa County, Arizona",4013116715,75135,1,1987,872,43.4,2.28,653,1769,30,0,31,0,102,55,1987
"Census Tract 1167.17, Maricopa County, Arizona",4013116717,46932,1,4060,1846,30.6,2.2,855,2393,591,396,39,9,207,425,4060
"Census Tract 1167.18, Maricopa County, Arizona",4013116718,55625,1,2807,1218,30.7,2.27,569,2093,403,116,21,0,33,141,2807
"Census Tract 1167.19, Maricopa County, Arizona",4013116719,82646,1,6855,2713,39.1,2.52,2478,5800,236,59,503,17,59,181,6855
"Census Tract 1167.20, Maricopa County, Arizona",4013116720,81974,1,3720,1684,34.7,2.21,1237,2597,290,63,106,0,255,409,3720
"Census Tract 1167.21, Maricopa County, Arizona",4013116721,99297,1,3617,1339,38.5,2.7,1353,3229,29,60,201,0,42,56,3617
"Census Tract 1167.25, Maricopa County, Arizona",4013116725,77193,1,4914,2203,44.8,2.23,1867,4318,172,0,269,0,29,126,4914
"Census Tract 1167.27, Maricopa County, Arizona",4013116727,117578,1,3766,1329,43.4,2.83,1606,3172,56,0,267,0,57,214,3766
"Census Tract 1167.28, Maricopa County, Arizona",4013116728,138491,1,4836,1589,43.2,3.04,2106,3980,185,0,419,0,124,128,4836
"Census Tract 1167.29, Maricopa County, Arizona",4013116729,140664,1,4313,1469,43.9,2.94,1999,3629,122,0,376,23,80,83,4313
"Census Tract 1167.30, Maricopa County, Arizona",4013116730,114286,1,1954,658,37.2,2.97,677,1246,262,19,344,0,8,75,1954
"Census Tract 1167.31, Maricopa County, Arizona",4013116731,99635,1,3250,1147,37,2.83,1174,2791,54,32,176,23,81,93,3250
"Census Tract 1167.32, Maricopa County, Arizona",4013116732,46576,1,3453,1153,35.9,2.99,550,2478,156,105,52,0,503,159,3453
"Census Tract 1167.33, Maricopa County, Arizona",4013116733,99643,1,330,136,43.8,2.43,105,292,0,9,5,0,0,24,330
"Census Tract 1168, Maricopa County, Arizona",4013116800,33771,1,2701,981,37,2.75,471,2430,82,41,0,0,124,24,2701
"Census Tract 1169, Maricopa County, Arizona",4013116900,28924,1,2284,543,25.1,4,71,1893,26,17,15,73,247,13,2284
"Census Tract 117, Yuma County, Arizona",4027011700,38828,1,1222,637,67.5,1.92,94,1011,9,0,6,0,166,30,1222
"Census Tract 1170, Maricopa County, Arizona",4013117000,30691,1,5801,2141,31.1,2.71,659,3577,436,157,820,10,711,90,5801
"Census Tract 1171, Maricopa County, Arizona",4013117100,53357,1,2809,1361,34.2,1.9,1031,1949,143,92,105,0,306,214,2809
"Census Tract 1172, Maricopa County, Arizona",4013117200,32333,1,1330,344,26.5,3.87,46,727,0,250,10,0,310,33,1330
"Census Tract 1173, Maricopa County, Arizona",4013117300,9948,1,1222,374,22,3.22,12,1080,25,0,0,0,107,10,1222
"Census Tract 118, Yuma County, Arizona",4027011800,53333,1,8830,1766,33.7,3.31,449,6282,457,423,66,1,1527,74,8830
"Census Tract 12, Cochise County, Arizona",4003001200,38125,1,2909,1154,44.5,2.51,507,2414,5,27,6,0,358,99,2909
"Census Tract 12, Coconino County, Arizona",4005001200,49216,1,2732,1306,34,2.07,1226,2442,60,10,56,0,105,59,2732
"Census Tract 12, Gila County, Arizona",4007001200,51196,1,4825,1808,45.2,2.32,675,3803,170,322,80,0,328,122,4825
"Census Tract 12, Pima County, Arizona",4019001200,30441,1,3984,1214,28.3,3.17,192,2337,364,464,14,0,690,115,3984
"Census Tract 12, Pinal County, Arizona",4021001200,35786,1,5078,1702,40.9,2.68,431,4181,135,228,55,14,212,253,5078
"Census Tract 12, Yavapai County, Arizona",4025001200,65636,1,6458,2882,59.5,2.23,1892,6164,1,26,66,0,101,100,6458
"Census Tract 12, Yuma County, Arizona",4027001200,46121,1,3881,1402,32.9,2.76,415,2877,8,104,90,0,514,288,3881
"Census Tract 121, Yuma County, Arizona",4027012100,42763,1,1283,372,27.4,3.2,83,767,56,8,0,0,450,2,1283
"Census Tract 13, Cochise County, Arizona",4003001300,41477,1,5449,2331,42,2.32,660,4396,272,94,27,4,332,324,5449
"Census Tract 13, Gila County, Arizona",4007001300,43200,1,1275,424,47.7,3.01,99,1070,0,13,0,0,166,26,1275
"Census Tract 13, Yavapai County, Arizona",4025001300,65061,1,2432,816,29.9,2.98,147,2244,27,19,0,0,110,32,2432
"Census Tract 13.01, Coconino County, Arizona",4005001301,77485,1,5238,1927,44.1,2.71,1374,4462,41,492,30,0,82,131,5238
"Census Tract 13.01, Pinal County, Arizona",4021001301,48873,1,7352,2608,38.1,2.82,885,6083,375,353,263,0,117,161,7352
"Census Tract 13.02, Coconino County, Arizona",4005001302,73750,1,5347,1897,37,2.81,1078,4864,186,197,19,10,71,0,5347
"Census Tract 13.02, Pima County, Arizona",4019001302,13193,1,1987,1177,40.2,1.69,129,1248,80,179,43,0,288,149,1987
"Census Tract 13.03, Pima County, Arizona",4019001303,22955,1,2945,1244,33.5,2.28,174,2078,238,300,23,0,278,28,2945
"Census Tract 13.03, Pinal County, Arizona",4021001303,57883,1,1318,513,51.4,2.57,313,910,12,25,69,0,302,0,1318
"Census Tract 13.04, Pima County, Arizona",4019001304,14940,1,5083,2244,34.5,2.26,389,3722,128,294,306,0,516,117,5083
"Census Tract 13.04, Pinal County, Arizona",4021001304,58164,1,8646,2720,33.3,3.17,1070,6844,514,185,486,0,331,286,8646
"Census Tract 13.05, Pinal County, Arizona",4021001305,44603,1,5883,1931,35,3.04,393,4680,110,109,35,0,827,122,5883
"Census Tract 13.06, Pinal County, Arizona",4021001306,46235,1,4490,1682,36.5,2.63,686,3500,431,63,173,0,263,60,4490
"Census Tract 14, Pima County, Arizona",4019001400,21599,1,5344,2445,23.7,2.11,1010,3969,232,194,600,0,123,226,5344
"Census Tract 14.01, Cochise County, Arizona",4003001401,47083,1,4680,576,20.9,3.88,577,3746,418,131,84,0,0,301,4680
"Census Tract 14.01, Yavapai County, Arizona",4025001401,42182,1,2269,1027,60.2,2.19,246,2190,0,9,36,0,0,34,2269
"Census Tract 14.02, Cochise County, Arizona",4003001402,65769,1,1063,200,21.1,4.44,164,748,170,0,23,4,44,74,1063
"Census Tract 14.02, Yavapai County, Arizona",4025001402,37143,1,3052,1354,58.3,2.24,431,2970,8,66,0,0,1,7,3052
"Census Tract 14.03, Pinal County, Arizona",4021001403,36021,1,4696,1669,38.5,2.79,320,3132,307,48,88,0,907,214,4696
"Census Tract 14.03, Yavapai County, Arizona",4025001403,32703,1,3368,1587,60,2.12,394,3211,14,21,0,0,85,37,3368
"Census Tract 14.04, Pinal County, Arizona",4021001404,47668,1,4079,1287,33.8,3.15,588,3651,0,109,202,0,117,0,4079
"Census Tract 14.05, Pinal County, Arizona",4021001405,42316,1,4394,1929,49.8,2.27,670,4080,152,24,23,0,39,76,4394
"Census Tract 14.06, Pinal County, Arizona",4021001406,23375,1,5386,1666,30.7,3.23,369,3806,307,255,33,0,828,157,5386
"Census Tract 14.07, Pinal County, Arizona",4021001407,37098,1,2238,821,42.7,2.68,193,1767,13,52,46,0,263,97,2238
"Census Tract 14.08, Pinal County, Arizona",4021001408,60500,1,1952,910,64.4,2.15,554,1717,66,30,104,0,14,21,1952
"Census Tract 15, Coconino County, Arizona",4005001500,49258,1,2934,1315,53.8,2.23,957,2608,0,27,0,36,1,262,2934
"Census Tract 15, Pima County, Arizona",4019001500,27573,1,4875,2151,23.7,2.17,1147,4244,16,7,173,0,129,306,4875
"Census Tract 15, Pinal County, Arizona",4021001500,21118,1,3963,1298,31.8,3.04,148,2351,239,672,0,0,511,190,3963
"Census Tract 15, Yavapai County, Arizona",4025001500,41714,1,6274,2779,49.9,2.21,399,6082,0,28,0,0,35,129,6274
"Census Tract 15.01, Cochise County, Arizona",4003001501,34874,1,3518,1543,33.3,2.27,338,2479,206,10,206,9,527,81,3518
"Census Tract 15.02, Cochise County, Arizona",4003001502,40214,1,4417,1624,32.7,2.7,316,3160,252,218,94,0,563,130,4417
"Census Tract 16, Coconino County, Arizona",4005001600,52016,1,3068,1698,59.5,1.8,1286,2955,0,1,50,0,12,50,3068
"Census Tract 16, Pima County, Arizona",4019001600,50387,1,3879,1795,36.4,2.14,1377,3379,32,88,124,0,22,234,3879
"Census Tract 16, Pinal County, Arizona",4021001600,47323,1,5473,1707,36.2,3.2,297,4683,164,0,31,0,468,127,5473
"Census Tract 16.01, Cochise County, Arizona",4003001601,57077,1,5315,1965,27.9,2.7,925,3820,223,168,278,0,56,770,5315
"Census Tract 16.01, Yavapai County, Arizona",4025001601,34135,1,5805,2268,48.5,2.29,507,4505,34,876,0,1,203,186,5805
"Census Tract 16.02, Cochise County, Arizona",4003001602,32380,1,3287,1449,39,2.11,498,2642,268,57,117,0,56,147,3287
"Census Tract 16.02, Yavapai County, Arizona",4025001602,36493,1,3961,1507,43.6,2.61,462,3709,0,88,0,0,67,97,3961
"Census Tract 16.03, Yavapai County, Arizona",4025001603,41478,1,6851,2808,45.1,2.43,1111,6253,0,274,0,0,219,105,6851
"Census Tract 17, Coconino County, Arizona",4005001700,44313,1,3687,1491,41.5,2.46,488,2956,52,71,29,0,306,273,3687
"Census Tract 17, Pima County, Arizona",4019001700,41507,1,2941,1386,37.9,2.12,960,2671,34,146,0,0,12,78,2941
"Census Tract 17.01, Cochise County, Arizona",4003001701,55121,1,4073,1787,39.8,2.28,913,2759,243,74,184,0,341,472,4073
"Census Tract 17.01, Pinal County, Arizona",4021001701,29005,1,770,317,34.5,2.43,73,685,0,0,0,0,78,7,770
"Census Tract 17.01, Yavapai County, Arizona",4025001701,44600,1,5928,2767,54.8,2.13,1289,5578,76,56,36,0,28,154,5928
"Census Tract 17.02, Cochise County, Arizona",4003001702,44333,1,4064,1676,34.1,2.42,618,2948,261,0,162,12,95,586,4064
"Census Tract 17.02, Pinal County, Arizona",4021001702,80511,1,2536,706,32.9,3.59,627,1868,146,152,132,13,201,24,2536
"Census Tract 17.02, Yavapai County, Arizona",4025001702,54012,1,4520,2224,61.8,2.03,1594,4319,22,81,37,0,0,61,4520
"Census Tract 17.03, Cochise County, Arizona",4003001703,59028,1,4769,1984,34.5,2.38,1102,3635,235,61,129,0,55,654,4769
"Census Tract 17.03, Pinal County, Arizona",4021001703,61944,1,1822,662,38.6,2.75,394,1664,12,26,32,18,36,34,1822
"Census Tract 17.03, Yavapai County, Arizona",4025001703,64688,1,2650,1258,62.4,2.03,1058,2386,22,68,47,0,7,120,2650
"Census Tract 17.04, Pinal County, Arizona",4021001704,60979,1,6811,2221,35.1,3.07,979,5168,609,319,192,0,200,323,6811
"Census Tract 17.05, Pinal County, Arizona",4021001705,62988,1,6100,2242,34.2,2.72,1086,5249,371,19,80,0,271,110,6100
"Census Tract 17.06, Pinal County, Arizona",4021001706,72104,1,4475,1475,38.4,3.03,1022,3256,583,37,285,0,216,98,4475
"Census Tract 17.07, Pinal County, Arizona",4021001707,66884,1,6331,1678,30.1,3.77,664,3170,1574,201,695,0,409,282,6331
"Census Tract 17.08, Pinal County, Arizona",4021001708,63092,1,6010,2186,39.8,2.75,1390,5012,584,0,90,0,72,252,6010
"Census Tract 17.09, Pinal County, Arizona",4021001709,70562,1,3280,955,31.4,3.43,429,2188,270,56,166,5,477,118,3280
"Census Tract 17.10, Pinal County, Arizona",4021001710,62656,1,5658,1644,31.2,3.44,555,5233,357,0,6,0,62,0,5658
"Census Tract 17.11, Pinal County, Arizona",4021001711,62045,1,2352,704,32.3,3.34,361,1678,360,32,12,0,98,172,2352
"Census Tract 18, Cochise County, Arizona",4003001800,85401,1,8947,3777,50.7,2.36,2793,7305,778,0,323,34,189,318,8947
"Census Tract 18.01, Pima County, Arizona",4019001801,28874,1,5569,2616,31.7,2.09,1141,3486,480,279,266,105,326,627,5569
"Census Tract 18.01, Yavapai County, Arizona",4025001801,47639,1,3182,1797,59.9,1.77,1297,3104,0,0,21,0,37,20,3182
"Census Tract 18.02, Pima County, Arizona",4019001802,33947,1,2442,1297,30.8,1.83,645,1895,16,105,87,0,252,87,2442
"Census Tract 18.02, Yavapai County, Arizona",4025001802,49926,1,4737,2175,57,2.18,1798,4274,0,195,164,0,56,48,4737
"Census Tract 19, Cochise County, Arizona",4003001900,101092,1,6579,2645,47.3,2.48,2124,5387,379,0,128,131,370,184,6579
"Census Tract 19, Pima County, Arizona",4019001900,48258,1,3961,1832,43.8,2.14,1701,3548,51,16,263,0,75,8,3961
